token_id,formatted_attributes
4566,"Fur:Brown, Clothes:White Tee, Mouth:Gold Smirk, Eyes:Wide, Head:Chopsticks Bun, Shooting:34, Defense:38, Vision:59, Finish:49"
2710,"Fur:Green, Clothes:Green Kimono, Mouth:Gold Scream, Eyes:Sad, Head Accessory:Red Shades, Head:RKL Cap Sideways, Shooting:42, Defense:56, Vision:73, Finish:51"
3675,"Fur:Brown, Clothes:Biker Jacket, Mouth:Scream, Eyes:Closed, Head Accessory:Blue Shades, Head:Ski Glasses, Shooting:50, Defense:39, Vision:53, Finish:38"
8102,"Fur:Green, Mouth:Scream, Eyes:Bloodshot, Head:Bowler, Shooting:38, Defense:41, Vision:49, Finish:60"
7486,"Fur:Brown, Clothes:White Tee, Mouth:Shows Teeth, Eyes:Regular, Head Accessory:Red Shades, Head:Russian Cap, Shooting:1, Defense:66, Vision:59, Finish:38"
9442,"Fur:Red, Clothes:Shaolin Vest, Mouth:Saber Toothed, Eyes:Wide Scar, Head:Red Bandana, Shooting:42, Defense:54, Vision:43, Finish:93"
5635,"Fur:Sky Blue, Clothes:Biker Jacket, Mouth:Saber Toothed, Eyes:Angry, Head:Red Bandana, Shooting:21, Defense:5, Vision:58, Finish:23"
2623,"Fur:Sky Blue, Clothes:Dego Tee Blooded, Mouth:Ooh, Eyes:Wide, Head Accessory:Gem Earring, Head:Cap Forward, Shooting:64, Defense:71, Vision:67, Finish:89"
1168,"Fur:White Noise, Clothes:White Tee, Mouth:Full Beard, Eyes:Wide, Shooting:43, Defense:44, Vision:28, Finish:44"
8753,"Fur:Brown, Clothes:Cheetah Dego Tee, Mouth:Shows Teeth, Eyes:Wide, Shooting:62, Defense:16, Vision:56, Finish:55"
2987,"Fur:White Noise, Mouth:Tongue Out, Eyes:Regular, Head:RKL Cap Sideways, Shooting:38, Defense:42, Vision:66, Finish:41"
7338,"Fur:Pink, Clothes:Shirt And Tie, Mouth:Kiss, Eyes:Angry Scar, Head Accessory:Blue Shades, Head:Purple Bandana, Shooting:20, Defense:54, Vision:54, Finish:46"
6849,"Fur:Green, Mouth:Kiss, Eyes:Closed, Shooting:50, Defense:51, Vision:53, Finish:70"
4447,"Fur:Red, Clothes:White Tee, Mouth:Kiss, Eyes:Closed, Head:Blonde Bun, Shooting:43, Defense:33, Vision:40, Finish:75"
7729,"Fur:Sky Blue, Clothes:Cyan Jersey, Mouth:Full Beard, Eyes:Bloodshot, Head:Bowler, Shooting:48, Defense:62, Vision:51, Finish:44"
9734,"Fur:Pink, Clothes:White Tee, Mouth:Shows Teeth, Eyes:Bloodshot, Head:Winter Hat, Shooting:75, Defense:53, Vision:67, Finish:55"
5591,"Fur:Red, Clothes:Striped Tee, Mouth:Regular, Eyes:Wide Scar, Shooting:30, Defense:46, Vision:57, Finish:62"
7569,"Fur:White Noise, Mouth:Gold Scream, Eyes:Regular, Shooting:56, Defense:9, Vision:50, Finish:23"
9491,"Fur:Brown, Clothes:White Tee, Mouth:Drool, Eyes:Wide Scar, Shooting:52, Defense:32, Vision:58, Finish:10"
9813,"Fur:Brown, Mouth:Saber Toothed, Eyes:Wide Scar, Head:Beanie, Shooting:50, Defense:67, Vision:22, Finish:71"
9820,"Fur:Brown, Clothes:Fusion Gi, Mouth:Regular, Eyes:Wide, Head:Beanie, Shooting:46, Defense:23, Vision:50, Finish:57"
3143,"Fur:Red, Clothes:Tracksuit, Mouth:Regular, Eyes:Regular, Head Accessory:Vibe Glasses, Head:Russian Cap, Shooting:60, Defense:50, Vision:65, Finish:41"
3737,"Fur:Pink, Clothes:RKL Tee, Mouth:Cigar, Eyes:Closed Scar, Shooting:48, Defense:71, Vision:23, Finish:41"
4956,"Fur:White Noise, Mouth:Kiss, Eyes:Wide Scar, Shooting:61, Defense:52, Vision:58, Finish:30"
4275,"Fur:Sky Blue, Clothes:Shaolin Vest, Mouth:Scream, Eyes:Closed Scar, Shooting:85, Defense:54, Vision:29, Finish:67"
8732,"Fur:Red, Clothes:Lab Coat, Mouth:Saber Toothed, Eyes:Wide, Shooting:51, Defense:45, Vision:62, Finish:56"
2678,"Fur:White Noise, Clothes:Green Kimono, Mouth:Gold Smirk, Eyes:Wide, Head:Blonde Bun, Shooting:67, Defense:21, Vision:59, Finish:48"
3000,"Fur:Grey, Clothes:White Tee, Mouth:Ooh, Eyes:Angry, Head Accessory:Vibe Glasses, Head:RKL Cap Sideways, Shooting:53, Defense:58, Vision:23, Finish:80"
232,"Fur:Black, Clothes:Red Kimono, Mouth:Ooh, Eyes:Bloodshot, Shooting:71, Defense:56, Vision:33, Finish:36"
2506,"Fur:Black, Clothes:Striped Tee, Mouth:Scream, Eyes:Closed Scar, Head:Bowler, Shooting:63, Defense:37, Vision:44, Finish:47"
8243,"Fur:Pink, Clothes:Shirt And Tie, Mouth:Kiss, Eyes:Wide Scar, Shooting:34, Defense:45, Vision:46, Finish:45"
645,"Fur:Brown, Clothes:Shirt And Tie, Mouth:Tongue Out, Eyes:Wide, Head:Purple Bandana, Shooting:56, Defense:50, Vision:69, Finish:20"
9698,"Fur:Grey, Mouth:Kiss, Eyes:Wide Scar, Head Accessory:Gold Stud, Head:Horse Jockey Hat, Shooting:53, Defense:31, Vision:72, Finish:65"
3405,"Fur:Grey, Clothes:Biker Jacket, Mouth:Regular, Eyes:Wide, Head:Bowler, Shooting:47, Defense:58, Vision:63, Finish:40"
8233,"Fur:Brown, Clothes:Shirt And Tie, Mouth:Drool, Eyes:Bloodshot, Head Accessory:3D Glasses, Head:Winter Hat, Shooting:47, Defense:49, Vision:64, Finish:41"
2510,"Fur:Red, Clothes:Shirt And Tie, Mouth:Referee, Eyes:Sad, Head:Ski Glasses, Shooting:58, Defense:61, Vision:61, Finish:47"
25,"Fur:Brown, Mouth:Regular, Eyes:Angry, Head:Bowler, Shooting:46, Defense:7, Vision:50, Finish:40"
8702,"Fur:Grey, Clothes:Hawaii Shirt, Mouth:Regular, Eyes:Angry Wink, Head Accessory:Red Shades, Head:Bowler, Shooting:53, Defense:52, Vision:72, Finish:43"
1645,"Fur:Aurora, Clothes:King Jersey, Eyes:Heterochromia, Mouth:Diamond Teeth, Head:Crown, Jewellery:Silver Chain, Shooting:74, Defense:71, Vision:69, Finish:29"
211,"Fur:Pink, Clothes:RKL Tee, Mouth:Ooh, Eyes:Sad, Shooting:63, Defense:65, Vision:69, Finish:34"
2260,"Fur:Green, Clothes:Cyan Jersey, Mouth:Regular, Eyes:Angry Scar, Shooting:42, Defense:53, Vision:38, Finish:43"
1760,"Fur:Red, Clothes:Striped Tee, Mouth:Shows Teeth, Eyes:Closed, Shooting:43, Defense:41, Vision:59, Finish:33"
782,"Fur:Pink, Mouth:Saber Toothed, Eyes:Closed, Head:Russian Cap, Shooting:57, Defense:21, Vision:36, Finish:43"
1027,"Fur:Red, Clothes:Dego Tee Blooded, Mouth:Tongue Out, Eyes:Angry Wink, Head:Green Beret, Shooting:52, Defense:56, Vision:60, Finish:72"
3325,"Fur:Sky Blue, Clothes:Green Kimono, Mouth:Referee, Eyes:Angry, Head Accessory:Red Shades, Shooting:42, Defense:48, Vision:30, Finish:61"
8135,"Fur:Black, Clothes:Dego Tee Blooded, Mouth:Scream, Eyes:Wide, Head:RKL Cap Forward, Shooting:39, Defense:29, Vision:48, Finish:53"
1110,"Fur:White Noise, Clothes:Hawaii Shirt, Mouth:Ooh, Eyes:Angry Wink, Head Accessory:3D Glasses, Head:Blonde Bun, Shooting:54, Defense:35, Vision:69, Finish:51"
1966,"Fur:Brown, Clothes:Fusion Gi, Mouth:Drool, Eyes:Wide, Head:Cap Forward, Shooting:74, Defense:52, Vision:34, Finish:52"
2499,"Fur:Black, Clothes:RKL Tee, Mouth:Scream, Eyes:Sad, Head:Horse Jockey Hat, Shooting:62, Defense:47, Vision:55, Finish:58"
7920,"Fur:Sky Blue, Mouth:Gold Scream, Eyes:Closed, Head:Blonde Bun, Shooting:46, Defense:62, Vision:37, Finish:48"
742,"Fur:Red, Mouth:Saber Toothed, Eyes:Angry Wink, Head Accessory:Red Shades, Shooting:27, Defense:62, Vision:62, Finish:50"
7651,"Fur:Green, Clothes:White Tee, Mouth:Regular, Eyes:Wide, Head:Bowler, Shooting:56, Defense:45, Vision:58, Finish:33"
8850,"Fur:Black, Clothes:Navy Suit, Mouth:Tongue Out, Eyes:Wide Scar, Head:Tophat, Shooting:79, Defense:48, Vision:81, Finish:64"
210,"Fur:Grey, Clothes:Hawaii Shirt, Mouth:Scream, Eyes:Wide Scar, Head:RKL Cap Sideways, Shooting:60, Defense:54, Vision:54, Finish:46"
4630,"Fur:Green, Clothes:White Tee, Mouth:Full Beard, Eyes:Wide, Shooting:36, Defense:44, Vision:34, Finish:31"
9897,"Fur:Black, Mouth:Regular, Eyes:Wide, Head:Beanie, Shooting:65, Defense:16, Vision:48, Finish:69"
5465,"Fur:Crystal, Clothes:Robo Arm, Eyes:Angry, Mouth:Scream, Jewellery:Silver Chain, Shooting:41, Defense:33, Vision:72, Finish:60"
4999,"Fur:Brown, Mouth:Gold Scream, Eyes:Angry Wink, Head:RKL Cap Sideways, Shooting:43, Defense:62, Vision:49, Finish:40"
2473,"Fur:Sky Blue, Clothes:White Tee, Mouth:Saber Toothed, Eyes:Angry, Shooting:40, Defense:48, Vision:44, Finish:22"
132,"Fur:Aurora, Clothes:Space Suit, Eyes:Heterochromia, Mouth:Diamond Teeth, Head:Halo, Shooting:50, Defense:57, Vision:90, Finish:67"
4341,"Fur:Pink, Clothes:Cheetah Dego Tee, Mouth:Missing Teeth, Eyes:Wide, Head Accessory:Blue Shades, Head:Beanie, Shooting:48, Defense:66, Vision:64, Finish:25"
2161,"Fur:Brown, Clothes:RKL Tee, Mouth:Saber Toothed, Eyes:Regular, Head:Blonde Bun, Shooting:47, Defense:65, Vision:28, Finish:45"
3564,"Fur:White Noise, Clothes:Hawaii Shirt, Mouth:Scream, Eyes:Regular, Head:Purple Bandana, Shooting:49, Defense:64, Vision:25, Finish:66"
2250,"Fur:Sky Blue, Clothes:Tracksuit, Mouth:Regular, Eyes:Sad, Shooting:37, Defense:44, Vision:32, Finish:45"
932,"Fur:Black, Clothes:Hawaii Shirt, Mouth:Gold Saber Toothed, Eyes:Angry Wink, Head:Red Bandana, Shooting:39, Defense:32, Vision:49, Finish:51"
5194,"Fur:Sky Blue, Clothes:Cyan Jersey, Mouth:Referee, Eyes:Angry Wink, Head:Blue Pigtails, Shooting:47, Defense:51, Vision:49, Finish:21"
8616,"Fur:Grey, Clothes:Dress, Mouth:Drool, Eyes:Angry, Head:Bowler, Shooting:35, Defense:64, Vision:44, Finish:62"
2377,"Fur:Grey, Clothes:Striped Tee, Mouth:Cigar, Eyes:Closed Scar, Shooting:48, Defense:57, Vision:40, Finish:27"
